[2025-08-26 18:49:58] Row: 2, Product ID: , Old Price: 0.0, New Price: 0.0, Status: Failed, Message: Price extraction failed: No price data available
[2025-08-26 18:50:04] Row: 5, Product ID: , Old Price: 0.0, New Price: 0.0, Status: Failed, Message: Price extraction failed: No price data available
[2025-08-26 18:50:13] Row: 10, Product ID: , Old Price: 119.99, New Price: 119.99, Status: Success, Message: Price found: $119.99 (no supplier URL available)
[2025-08-26 18:50:18] Row: 11, Product ID: , Old Price: 129.99, New Price: 129.99, Status: Success, Message: Price found: $129.99 (no supplier URL available)
[2025-08-26 18:50:26] Row: 12, Product ID: , Old Price: 129.99, New Price: 129.99, Status: Success, Message: Price found: $129.99 (no supplier URL available)
[2025-08-26 18:50:32] Row: 13, Product ID: , Old Price: 129.99, New Price: 129.99, Status: Success, Message: Price found: $129.99 (no supplier URL available)
[2025-08-26 18:50:38] Row: 14, Product ID: , Old Price: 38.76, New Price: 38.76, Status: Success, Message: Price found: $38.76 (no supplier URL available)
[2025-08-26 18:50:43] Row: 15, Product ID: , Old Price: 38.76, New Price: 38.76, Status: Success, Message: Price found: $38.76 (no supplier URL available)
[2025-08-26 18:50:52] Row: 5, Product ID: , Old Price: 0.0, New Price: 0.0, Status: Failed, Message: Price extraction failed: No price data available
[2025-08-26 18:50:58] Row: 6, Product ID: , Old Price: 0.0, New Price: 0.0, Status: Failed, Message: Price extraction failed: No price data available
[2025-08-26 18:51:05] Row: 7, Product ID: , Old Price: 131.99, New Price: 131.99, Status: Success, Message: Price found: $131.99 (no supplier URL available)
[2025-08-26 18:51:12] Row: 8, Product ID: , Old Price: 119.99, New Price: 119.99, Status: Success, Message: Price found: $119.99 (no supplier URL available)
[2025-08-26 19:07:31] Row: 7, Product ID: , Old Price: 131.99, New Price: 131.99, Status: Success, Message: Price found: $131.99 (no supplier URL available)
[2025-08-26 19:07:40] Row: 2, Product ID: , Old Price: 0.0, New Price: 0.0, Status: Failed, Message: Price extraction failed: No price data available
[2025-08-26 19:07:45] Row: 5, Product ID: , Old Price: 0.0, New Price: 0.0, Status: Failed, Message: Price extraction failed: No price data available
[2025-08-26 19:07:54] Row: 10, Product ID: , Old Price: 119.99, New Price: 119.99, Status: Success, Message: Price found: $119.99 (no supplier URL available)
[2025-08-26 19:08:00] Row: 11, Product ID: , Old Price: 129.99, New Price: 129.99, Status: Success, Message: Price found: $129.99 (no supplier URL available)
[2025-08-26 19:08:06] Row: 12, Product ID: , Old Price: 129.99, New Price: 129.99, Status: Success, Message: Price found: $129.99 (no supplier URL available)
[2025-08-26 19:08:13] Row: 13, Product ID: , Old Price: 129.99, New Price: 129.99, Status: Success, Message: Price found: $129.99 (no supplier URL available)
[2025-08-26 19:08:19] Row: 14, Product ID: , Old Price: 38.76, New Price: 38.76, Status: Success, Message: Price found: $38.76 (no supplier URL available)
[2025-08-26 19:08:25] Row: 15, Product ID: , Old Price: 38.76, New Price: 38.76, Status: Success, Message: Price found: $38.76 (no supplier URL available)
[2025-08-26 19:08:35] Row: 5, Product ID: , Old Price: 0.0, New Price: 0.0, Status: Failed, Message: Price extraction failed: No price data available
[2025-08-26 19:08:40] Row: 6, Product ID: , Old Price: 0.0, New Price: 0.0, Status: Failed, Message: Price extraction failed: No price data available
[2025-08-26 19:08:47] Row: 7, Product ID: , Old Price: 131.99, New Price: 131.99, Status: Success, Message: Price found: $131.99 (no supplier URL available)
[2025-08-26 19:08:53] Row: 8, Product ID: , Old Price: 119.99, New Price: 119.99, Status: Success, Message: Price found: $119.99 (no supplier URL available)
